Timestamp,Level meter,Flow meter,Setpoint,Fill value,Discharge value,SP,PV
"2024-06-04 12:58:51,589",20958,24046,0,,,,
"2024-06-04 12:58:51,595",,,,13685,32767,0,0
"2024-06-04 12:58:51,605",20960,24027,0,,,,
"2024-06-04 12:58:51,611",,,,13685,32767,0,0
"2024-06-04 12:58:51,621",20940,24008,0,,,,
"2024-06-04 12:58:51,626",,,,13685,32767,0,0
"2024-06-04 12:58:51,637",20889,23984,0,,,,
"2024-06-04 12:58:51,642",,,,13685,32767,0,0
"2024-06-04 12:58:51,652",20795,23960,0,,,,
"2024-06-04 12:58:51,658",,,,13685,32767,0,0
"2024-06-04 12:58:51,668",20796,23936,0,,,,
"2024-06-04 12:58:51,674",,,,13685,32767,0,0
"2024-06-04 12:58:51,684",20787,23917,0,,,,
"2024-06-04 12:58:51,689",,,,13685,32767,0,0
"2024-06-04 12:58:51,699",20680,23897,0,,,,
"2024-06-04 12:58:51,705",,,,13685,32767,0,0
"2024-06-04 12:58:51,715",20652,23878,0,,,,
"2024-06-04 12:58:51,720",,,,13685,32767,0,0
"2024-06-04 12:58:51,730",20608,23859,0,,,,
"2024-06-04 12:58:51,736",,,,13685,32767,0,0
"2024-06-04 12:58:51,746",20591,23840,0,,,,
"2024-06-04 12:58:51,752",,,,13685,32767,0,0
"2024-06-04 12:58:51,762",20539,23821,0,,,,
"2024-06-04 12:58:51,767",,,,13685,32767,0,0
"2024-06-04 12:58:51,777",20462,23797,0,,,,
"2024-06-04 12:58:51,783",,,,13685,32767,0,0
"2024-06-04 12:58:51,793",20457,23778,0,,,,
"2024-06-04 12:58:51,798",,,,13685,32767,0,0
"2024-06-04 12:58:51,808",20405,23759,0,,,,
"2024-06-04 12:58:51,814",,,,13685,32767,0,0
"2024-06-04 12:58:51,824",20404,23739,0,,,,
"2024-06-04 12:58:51,830",,,,13685,32767,0,0
"2024-06-04 12:58:51,840",20408,23720,0,,,,
"2024-06-04 12:58:51,845",,,,13685,32767,0,0
"2024-06-04 12:58:51,856",20360,23701,0,,,,
"2024-06-04 12:58:51,861",,,,13685,32767,0,0
"2024-06-04 12:58:51,871",20317,23677,0,,,,
"2024-06-04 12:58:51,876",,,,13685,32767,0,0
"2024-06-04 12:58:51,886",20231,23654,0,,,,
"2024-06-04 12:58:51,892",,,,13685,32767,0,0
"2024-06-04 12:58:51,902",20234,23632,0,,,,
"2024-06-04 12:58:51,908",,,,13685,32767,0,0
"2024-06-04 12:58:51,918",20237,23613,0,,,,
"2024-06-04 12:58:51,924",,,,13685,32767,0,0
"2024-06-04 12:58:51,934",20220,23594,0,,,,
"2024-06-04 12:58:51,939",,,,13685,32767,0,0
"2024-06-04 12:58:51,949",20158,23575,0,,,,
"2024-06-04 12:58:51,955",,,,13685,32767,0,0
"2024-06-04 12:58:51,965",20080,23551,0,,,,
